n_client_queries,n_client_responses,n_upstream_queries,n_upstream_responses,total_wire_bytes,upstream_client_ratio,response_multiplicity,max_active_upstream,distinct_client_ecs,distinct_upstream_ecs,ecs_fanout,missing_ecs_rate,ecs_mismatch_rate,txid_entropy,sport_entropy,answer_uniqueness,answer_disagreement,ttl_mean,ttl_cv,rcode_diversity,servfail_rate,state_reuse_rate,client_latency_mean,client_latency_p95,client_latency_cv,upstream_latency_mean,response_race_gap_mean,n_timeouts,episode_id,seed,policy,condition,label,resolver_used
1,1,1,1,100,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,266.0,0.0,1.0,0.0,0.0,0.0028715133666992188,0.0028715133666992188,0.0,0.0028154850006103516,0.0,0,be10639d-ed39-4756-998d-5c0884bf29b5,20260815,aggregate,benign-plain,0,quad9
1,1,1,1,96,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,159.0,0.0,1.0,0.0,0.0,0.0070188045501708984,0.0070188045501708984,0.0,0.006839752197265625,0.0,0,6b2adae6-2f15-4050-acdc-a0694b896189,20260815,aggregate,benign-plain,0,quad9
1,1,1,1,196,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0034432411193847656,0.0034432411193847656,0.0,0.00301361083984375,0.0,0,ad7057d0-0323-411d-9800-581f241d293a,20260815,aggregate,benign-plain,0,google
1,1,1,1,124,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,756.0,0.0,1.0,0.0,0.0,0.003088235855102539,0.003088235855102539,0.0,0.0024557113647460938,0.0,0,8264d9fd-1c83-4bd2-839e-16283768e216,20260815,aggregate,benign-plain,0,quad9
1,1,1,1,190,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,300.0,0.0,1.0,0.0,0.0,0.005064964294433594,0.005064964294433594,0.0,0.004993915557861328,0.0,0,cb288b60-7d5f-4d9e-9f8a-e1b54818b266,20260815,aggregate,benign-plain,0,google
1,1,1,1,102,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,32.0,0.0,1.0,0.0,0.0,0.0028076171875,0.0028076171875,0.0,0.002577066421508789,0.0,0,f83034c7-5b09-46f2-b2cf-3d1df4347fa6,20260815,aggregate,benign-plain,0,google
1,1,1,1,92,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,228.0,0.0,1.0,0.0,0.0,0.00830841064453125,0.00830841064453125,0.0,0.008270025253295898,0.0,0,a7a36d49-1ac7-471d-a2aa-2f9495c238db,20260815,aggregate,benign-plain,0,cloudflare
1,1,1,1,98,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,1133.0,0.0,1.0,0.0,0.0,0.003530740737915039,0.003530740737915039,0.0,0.0032501220703125,0.0,0,5771b33b-ea96-47d3-b4c4-e7463f423b8b,20260815,aggregate,benign-plain,0,quad9
1,1,1,1,112,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,20.0,0.0,1.0,0.0,0.0,0.014958620071411133,0.014958620071411133,0.0,0.014598608016967773,0.0,0,bc7c7df9-8f65-4e88-b075-cda80673d35d,20260815,aggregate,benign-plain,0,cloudflare
1,1,1,1,106,1.0,1.0,1,0,0,0.0,0.0,0.0,-0.0,-0.0,1.0,0.0,58.0,0.0,1.0,0.0,0.0,0.0023834705352783203,0.0023834705352783203,0.0,0.001657247543334961,0.0,0,b2679843-164b-4eef-8e62-ab579179b3bf,20260815,aggregate,benign-plain,0,quad9
